       mw          cp           t         gam
   2.2274E+01  2.6273E+01  4.9885E+00  3.0894E+03
   2.2309E+01  2.6603E+01  4.8225E+00  2.9334E+03
   2.2276E+01  2.6360E+01  4.7685E+00  3.1290E+03
   2.2310E+01  2.6685E+01  4.6102E+00  2.9671E+03
   2.2278E+01  2.6423E+01  4.6204E+00  3.1570E+03
   2.2311E+01  2.6744E+01  4.4671E+00  2.9908E+03
   2.2280E+01  2.6471E+01  4.5098E+00  3.1786E+03
   2.2312E+01  2.6789E+01  4.3602E+00  3.0091E+03
   2.2281E+01  2.6510E+01  4.4222E+00  3.1962E+03
   2.2312E+01  2.6825E+01  4.2755E+00  3.0240E+03
   2.2283E+01  2.6543E+01  4.3500E+00  3.2111E+03
   2.2313E+01  2.6856E+01  4.2056E+00  3.0365E+03
   2.2284E+01  2.6572E+01  4.2888E+00  3.2239E+03
   2.2313E+01  2.6883E+01  4.1464E+00  3.0473E+03
   2.2285E+01  2.6597E+01  4.2359E+00  3.2352E+03
   2.2314E+01  2.6906E+01  4.0951E+00  3.0567E+03
   2.2286E+01  2.6620E+01  4.1894E+00  3.2453E+03
   2.2314E+01  2.6927E+01  4.0500E+00  3.0652E+03
   2.2711E+01  2.6640E+01  4.1479E+00  3.2544E+03
   2.2840E+01  2.6946E+01  4.0098E+00  3.0728E+03
   2.2764E+01  2.6658E+01  4.1106E+00  3.2627E+03
   2.2870E+01  2.6963E+01  3.9736E+00  3.0797E+03
   2.2791E+01  2.6676E+01  4.0767E+00  3.2703E+03
   2.2884E+01  2.6978E+01  3.9407E+00  3.0860E+03
   2.2809E+01  2.6691E+01  4.0457E+00  3.2773E+03
   2.2893E+01  2.6993E+01  3.9106E+00  3.0919E+03
   2.2822E+01  2.6706E+01  4.0171E+00  3.2839E+03
   2.2900E+01  2.7006E+01  3.8829E+00  3.0973E+03
   2.2831E+01  2.6720E+01  3.9907E+00  3.2899E+03
   2.2904E+01  2.7019E+01  3.8572E+00  3.1024E+03
   2.2839E+01  2.6732E+01  3.9661E+00  3.2957E+03
   2.2908E+01  2.7030E+01  3.8333E+00  3.1071E+03
   2.2846E+01  2.6744E+01  3.9431E+00  3.3010E+03
   2.2911E+01  2.7042E+01  3.8110E+00  3.1116E+03
   2.2851E+01  2.6756E+01  3.9216E+00  3.3061E+03
   2.2914E+01  2.7052E+01  3.7900E+00  3.1158E+03
   2.2856E+01  2.6767E+01  3.9013E+00  3.3109E+03
   2.2916E+01  2.7062E+01  3.7703E+00  3.1198E+03
   2.2860E+01  2.6272E+01  5.3281E+00  3.0167E+03
   2.2918E+01  2.6610E+01  5.1468E+00  2.8702E+03
   2.2863E+01  2.6422E+01  4.9275E+00  3.0839E+03
   2.2919E+01  2.6751E+01  4.7607E+00  2.9278E+03
   2.2867E+01  2.6509E+01  4.7115E+00  3.1231E+03
   2.2921E+01  2.6834E+01  4.5522E+00  2.9611E+03
   2.2870E+01  2.6571E+01  4.5659E+00  3.1509E+03
   2.2922E+01  2.6892E+01  4.4116E+00  2.9846E+03
   2.2872E+01  2.6620E+01  4.4573E+00  3.1723E+03
   2.2923E+01  2.6937E+01  4.3065E+00  3.0027E+03
   2.2875E+01  2.6659E+01  4.3712E+00  3.1898E+03
   2.2925E+01  2.6973E+01  4.2232E+00  3.0175E+03
   2.2877E+01  2.6692E+01  4.3003E+00  3.2045E+03
   2.2926E+01  2.7004E+01  4.1545E+00  3.0298E+03
   2.2879E+01  2.6721E+01  4.2402E+00  3.2172E+03
   2.2926E+01  2.7031E+01  4.0963E+00  3.0405E+03
   2.2881E+01  2.6746E+01  4.1882E+00  3.2284E+03
   2.2927E+01  2.7054E+01  4.0459E+00  3.0499E+03
   2.2883E+01  2.6768E+01  4.1424E+00  3.2384E+03
   2.2928E+01  2.7075E+01  4.0015E+00  3.0582E+03
   2.3193E+01  2.6789E+01  4.1016E+00  3.2474E+03
   2.3362E+01  2.7093E+01  3.9619E+00  3.0657E+03
   2.3264E+01  2.6807E+01  4.0649E+00  3.2556E+03
   2.3407E+01  2.7111E+01  3.9263E+00  3.0726E+03
   2.3301E+01  2.6824E+01  4.0316E+00  3.2631E+03
   2.3429E+01  2.7126E+01  3.8940E+00  3.0788E+03
   2.3325E+01  2.6840E+01  4.0011E+00  3.2701E+03
   2.3443E+01  2.7141E+01  3.8643E+00  3.0846E+03
   2.3343E+01  2.6854E+01  3.9730E+00  3.2766E+03
   2.3453E+01  2.7154E+01  3.8371E+00  3.0900E+03
   2.3356E+01  2.6868E+01  3.9470E+00  3.2826E+03
   2.3461E+01  2.7167E+01  3.8118E+00  3.0950E+03
   2.3368E+01  2.6881E+01  3.9229E+00  3.2883E+03
   2.3467E+01  2.7178E+01  3.7883E+00  3.0997E+03
   2.3377E+01  2.6893E+01  3.9003E+00  3.2936E+03
   2.3472E+01  2.7189E+01  3.7663E+00  3.1041E+03
   2.3385E+01  2.6904E+01  3.8791E+00  3.2986E+03
   2.3476E+01  2.7200E+01  3.7457E+00  3.1083E+03
   2.3391E+01  2.6915E+01  3.8591E+00  3.3034E+03
   2.3479E+01  2.7210E+01  3.7263E+00  3.1122E+03
   2.3397E+01  2.6411E+01  5.2472E+00  3.0109E+03
   2.3482E+01  2.6748E+01  5.0599E+00  2.8640E+03
   2.3403E+01  2.6560E+01  4.8534E+00  3.0774E+03
   2.3485E+01  2.6889E+01  4.6799E+00  2.9209E+03
   2.3407E+01  2.6647E+01  4.6409E+00  3.1162E+03
   2.3487E+01  2.6971E+01  4.4745E+00  2.9538E+03
   2.3412E+01  2.6709E+01  4.4977E+00  3.1436E+03
   2.3490E+01  2.7028E+01  4.3360E+00  2.9770E+03
   2.3416E+01  2.6757E+01  4.3908E+00  3.1648E+03
   2.3491E+01  2.7073E+01  4.2324E+00  2.9948E+03
   2.3419E+01  2.6796E+01  4.3060E+00  3.1821E+03
   2.3493E+01  2.7109E+01  4.1502E+00  3.0093E+03
   2.3423E+01  2.6829E+01  4.2362E+00  3.1966E+03
   2.3495E+01  2.7139E+01  4.0824E+00  3.0215E+03
   2.3426E+01  2.6857E+01  4.1769E+00  3.2092E+03
   2.3496E+01  2.7166E+01  4.0249E+00  3.0320E+03
   2.3428E+01  2.6882E+01  4.1256E+00  3.2202E+03
   2.3498E+01  2.7189E+01  3.9751E+00  3.0412E+03
   2.3431E+01  2.6905E+01  4.0805E+00  3.2301E+03
   2.3499E+01  2.7209E+01  3.9312E+00  3.0494E+03
   2.3623E+01  2.6925E+01  4.0404E+00  3.2390E+03
   2.3830E+01  2.7228E+01  3.8922E+00  3.0568E+03
   2.3710E+01  2.6943E+01  4.0042E+00  3.2471E+03
   2.3892E+01  2.7245E+01  3.8570E+00  3.0635E+03
   2.3757E+01  2.6960E+01  3.9713E+00  3.2545E+03
   2.3924E+01  2.7260E+01  3.8250E+00  3.0697E+03
   2.3789E+01  2.6976E+01  3.9412E+00  3.2614E+03
   2.3944E+01  2.7275E+01  3.7957E+00  3.0754E+03
   2.3812E+01  2.6990E+01  3.9135E+00  3.2678E+03
   2.3958E+01  2.7288E+01  3.7687E+00  3.0807E+03
   2.3830E+01  2.7004E+01  3.8878E+00  3.2737E+03
   2.3970E+01  2.7300E+01  3.7437E+00  3.0856E+03
   2.3845E+01  2.7017E+01  3.8640E+00  3.2793E+03
   2.3978E+01  2.7312E+01  3.7204E+00  3.0902E+03
   2.3857E+01  2.7029E+01  3.8417E+00  3.2845E+03
   2.3986E+01  2.7323E+01  3.6987E+00  3.0945E+03
   2.3868E+01  2.7040E+01  3.8207E+00  3.2895E+03
   2.3992E+01  2.7333E+01  3.6783E+00  3.0986E+03
   2.3877E+01  2.7051E+01  3.8010E+00  3.2942E+03
   2.3997E+01  2.7343E+01  3.6591E+00  3.1025E+03
   2.3885E+01  2.5466E+00  3.0348E+03  1.1924E+00
   2.4002E+01  2.1904E+00  2.7701E+03  1.2091E+00
   2.3892E+01  2.5204E+00  3.0385E+03  1.1935E+00
   2.4006E+01  2.1742E+00  2.7717E+03  1.2101E+00
   2.3899E+01  2.4970E+00  3.0418E+03  1.1945E+00
   2.4010E+01  2.1598E+00  2.7732E+03  1.2110E+00
   2.3905E+01  2.4759E+00  3.0448E+03  1.1955E+00
   2.4013E+01  2.1469E+00  2.7745E+03  1.2118E+00
   2.3910E+01  2.4567E+00  3.0475E+03  1.1963E+00
   2.4016E+01  2.1352E+00  2.7757E+03  1.2126E+00
   2.3915E+01  2.4391E+00  3.0500E+03  1.1971E+00
   2.4019E+01  2.1246E+00  2.7768E+03  1.2133E+00
   2.3920E+01  2.4230E+00  3.0524E+03  1.1979E+00
   2.4021E+01  2.1149E+00  2.7778E+03  1.2139E+00
   2.3924E+01  2.4080E+00  3.0545E+03  1.1986E+00
   2.4023E+01  2.1060E+00  2.7787E+03  1.2145E+00
   2.3928E+01  2.3942E+00  3.0565E+03  1.1992E+00
   2.4026E+01  2.0978E+00  2.7795E+03  1.2151E+00
   2.3932E+01  2.3813E+00  3.0584E+03  1.1999E+00
   2.4028E+01  2.0901E+00  2.7803E+03  1.2156E+00
   2.4005E+01  4.0433E+00  2.9463E+03  1.1514E+00
   2.4247E+01  3.3405E+00  2.7597E+03  1.1618E+00
   2.4108E+01  3.6171E+00  2.9979E+03  1.1592E+00
   2.4326E+01  2.9864E+00  2.7938E+03  1.1715E+00
   2.4164E+01  3.3931E+00  3.0263E+03  1.1640E+00
   2.4368E+01  2.8080E+00  2.8114E+03  1.1773E+00
   2.4202E+01  3.2455E+00  3.0455E+03  1.1675E+00
   2.4395E+01  2.6938E+00  2.8229E+03  1.1815E+00
   2.4231E+01  3.1375E+00  3.0599E+03  1.1703E+00
   2.4415E+01  2.6121E+00  2.8312E+03  1.1847E+00
   2.4254E+01  3.0534E+00  3.0713E+03  1.1725E+00
   2.4430E+01  2.5497E+00  2.8376E+03  1.1873E+00
   2.4272E+01  2.9851E+00  3.0806E+03  1.1745E+00
   2.4443E+01  2.4998E+00  2.8428E+03  1.1894E+00
   2.4288E+01  2.9282E+00  3.0884E+03  1.1762E+00
   2.4453E+01  2.4588E+00  2.8470E+03  1.1913E+00
   2.4301E+01  2.8795E+00  3.0952E+03  1.1777E+00
   2.4462E+01  2.4241E+00  2.8506E+03  1.1929E+00
   2.4313E+01  2.8373E+00  3.1011E+03  1.1790E+00
   2.4469E+01  2.3944E+00  2.8537E+03  1.1943E+00
   2.4324E+01  2.8001E+00  3.1064E+03  1.1802E+00
   2.4476E+01  2.3685E+00  2.8564E+03  1.1956E+00
   2.4333E+01  2.7671E+00  3.1111E+03  1.1813E+00
   2.4482E+01  2.3456E+00  2.8588E+03  1.1967E+00
   2.4341E+01  2.7373E+00  3.1153E+03  1.1823E+00
   2.4487E+01  2.3252E+00  2.8610E+03  1.1978E+00
   2.4349E+01  2.7104E+00  3.1192E+03  1.1833E+00
   2.4492E+01  2.3069E+00  2.8629E+03  1.1987E+00
   2.4356E+01  2.6859E+00  3.1227E+03  1.1841E+00
   2.4496E+01  2.2903E+00  2.8647E+03  1.1996E+00
   2.4363E+01  2.6634E+00  3.1260E+03  1.1850E+00
   2.4500E+01  2.2752E+00  2.8663E+03  1.2004E+00
   2.4369E+01  2.6427E+00  3.1290E+03  1.1857E+00
   2.4504E+01  2.2613E+00  2.8677E+03  1.2012E+00
   2.4374E+01  2.6234E+00  3.1318E+03  1.1864E+00
   2.4507E+01  2.2486E+00  2.8691E+03  1.2019E+00
   2.4379E+01  2.6056E+00  3.1344E+03  1.1871E+00
   2.4510E+01  2.2368E+00  2.8704E+03  1.2025E+00
   2.4384E+01  2.5889E+00  3.1368E+03  1.1878E+00
   2.4513E+01  2.2258E+00  2.8715E+03  1.2031E+00
   2.4345E+01  4.4662E+00  2.9782E+03  1.1444E+00
   2.4615E+01  3.8005E+00  2.8046E+03  1.1506E+00
   2.4461E+01  4.0079E+00  3.0355E+03  1.1511E+00
   2.4711E+01  3.3848E+00  2.8459E+03  1.1591E+00
   2.4525E+01  3.7625E+00  3.0676E+03  1.1552E+00
   2.4762E+01  3.1685E+00  2.8680E+03  1.1644E+00
   2.4570E+01  3.5985E+00  3.0896E+03  1.1583E+00
   2.4797E+01  3.0271E+00  2.8827E+03  1.1682E+00
   2.4604E+01  3.4772E+00  3.1062E+03  1.1607E+00
   2.4822E+01  2.9243E+00  2.8935E+03  1.1713E+00
   2.4630E+01  3.3819E+00  3.1194E+03  1.1627E+00
   2.4842E+01  2.8448E+00  2.9019E+03  1.1738E+00
   2.4652E+01  3.3039E+00  3.1304E+03  1.1645E+00
   2.4859E+01  2.7806E+00  2.9087E+03  1.1759E+00
   2.4671E+01  3.2384E+00  3.1397E+03  1.1660E+00
   2.4872E+01  2.7273E+00  2.9145E+03  1.1777E+00
   2.4687E+01  3.1821E+00  3.1478E+03  1.1674E+00
   2.4884E+01  2.6821E+00  2.9193E+03  1.1794E+00
   2.4702E+01  3.1329E+00  3.1548E+03  1.1686E+00
   2.4894E+01  2.6429E+00  2.9236E+03  1.1808E+00
   2.4715E+01  3.0894E+00  3.1611E+03  1.1697E+00
   2.4903E+01  2.6086E+00  2.9273E+03  1.1821E+00
   2.4726E+01  3.0505E+00  3.1668E+03  1.1707E+00
   2.4911E+01  2.5782E+00  2.9306E+03  1.1833E+00
   2.4736E+01  3.0154E+00  3.1720E+03  1.1717E+00
   2.4918E+01  2.5509E+00  2.9335E+03  1.1844E+00
   2.4746E+01  2.9835E+00  3.1767E+03  1.1725E+00
   2.4924E+01  2.5264E+00  2.9362E+03  1.1854E+00
   2.4755E+01  2.9543E+00  3.1810E+03  1.1733E+00
   2.4930E+01  2.5040E+00  2.9387E+03  1.1864E+00
   2.4763E+01  2.9274E+00  3.1850E+03  1.1741E+00
   2.4936E+01  2.4836E+00  2.9409E+03  1.1872E+00
   2.4770E+01  2.9026E+00  3.1887E+03  1.1748E+00
   2.4941E+01  2.4648E+00  2.9430E+03  1.1880E+00
   2.4777E+01  2.8794E+00  3.1921E+03  1.1755E+00
   2.4945E+01  2.4474E+00  2.9449E+03  1.1888E+00
   2.4784E+01  2.8579E+00  3.1954E+03  1.1762E+00
   2.4950E+01  2.4314E+00  2.9467E+03  1.1895E+00
   2.4790E+01  2.8377E+00  3.1984E+03  1.1768E+00
   2.4954E+01  2.4164E+00  2.9483E+03  1.1902E+00
   2.4649E+01  4.8245E+00  3.0001E+03  1.1394E+00
   2.4940E+01  4.2461E+00  2.8359E+03  1.1424E+00
   2.4775E+01  4.3548E+00  3.0615E+03  1.1452E+00
   2.5050E+01  3.7960E+00  2.8832E+03  1.1496E+00
   2.4847E+01  4.1005E+00  3.0964E+03  1.1488E+00
   2.5111E+01  3.5556E+00  2.9092E+03  1.1541E+00
   2.4896E+01  3.9290E+00  3.1207E+03  1.1514E+00
   2.5152E+01  3.3954E+00  2.9268E+03  1.1574E+00
   2.4934E+01  3.8012E+00  3.1391E+03  1.1535E+00
   2.5183E+01  3.2772E+00  2.9400E+03  1.1601E+00
   2.4964E+01  3.7000E+00  3.1539E+03  1.1553E+00
   2.5207E+01  3.1846E+00  2.9503E+03  1.1623E+00
   2.4990E+01  3.6168E+00  3.1662E+03  1.1568E+00
   2.5227E+01  3.1090E+00  2.9588E+03  1.1642E+00
   2.5011E+01  3.5464E+00  3.1767E+03  1.1581E+00
   2.5244E+01  3.0456E+00  2.9660E+03  1.1659E+00
   2.5030E+01  3.4857E+00  3.1858E+03  1.1593E+00
   2.5259E+01  2.9913E+00  2.9722E+03  1.1674E+00
   2.5046E+01  3.4324E+00  3.1939E+03  1.1603E+00
   2.5271E+01  2.9440E+00  2.9775E+03  1.1687E+00
   2.5061E+01  3.3850E+00  3.2011E+03  1.1613E+00
   2.5283E+01  2.9022E+00  2.9823E+03  1.1700E+00
   2.5075E+01  3.3425E+00  3.2076E+03  1.1622E+00
   2.5293E+01  2.8650E+00  2.9866E+03  1.1711E+00
   2.5087E+01  3.3040E+00  3.2136E+03  1.1631E+00
   2.5302E+01  2.8314E+00  2.9904E+03  1.1721E+00
   2.5098E+01  3.2688E+00  3.2190E+03  1.1638E+00
   2.5310E+01  2.8010E+00  2.9939E+03  1.1731E+00
   2.5108E+01  3.2365E+00  3.2240E+03  1.1645E+00
   2.5318E+01  2.7732E+00  2.9971E+03  1.1740E+00
   2.5118E+01  3.2067E+00  3.2287E+03  1.1652E+00
   2.5325E+01  2.7476E+00  3.0001E+03  1.1748E+00
   2.5127E+01  3.1790E+00  3.2330E+03  1.1659E+00
   2.5331E+01  2.7241E+00  3.0028E+03  1.1756E+00
   2.5135E+01  3.1532E+00  3.2370E+03  1.1665E+00
   2.5337E+01  2.7022E+00  3.0053E+03  1.1764E+00
   2.5143E+01  3.1291E+00  3.2408E+03  1.1671E+00
   2.5343E+01  2.6818E+00  3.0077E+03  1.1771E+00
   2.5150E+01  3.1064E+00  3.2444E+03  1.1676E+00
   2.5348E+01  2.6628E+00  3.0099E+03  1.1778E+00
   2.4922E+01  5.0991E+00  3.0144E+03  1.1361E+00
   2.5230E+01  4.6260E+00  2.8569E+03  1.1368E+00
   2.5056E+01  4.6318E+00  3.0787E+03  1.1412E+00
   2.5350E+01  4.1672E+00  2.9086E+03  1.1428E+00
   2.5133E+01  4.3777E+00  3.1157E+03  1.1443E+00
   2.5418E+01  3.9183E+00  2.9377E+03  1.1466E+00
   2.5187E+01  4.2057E+00  3.1415E+03  1.1466E+00
   2.5465E+01  3.7504E+00  2.9576E+03  1.1494E+00
   2.5228E+01  4.0769E+00  3.1613E+03  1.1484E+00
   2.5500E+01  3.6252E+00  2.9726E+03  1.1516E+00
   2.5261E+01  3.9747E+00  3.1772E+03  1.1499E+00
   2.5528E+01  3.5260E+00  2.9846E+03  1.1535E+00
   2.5289E+01  3.8903E+00  3.1906E+03  1.1512E+00
   2.5552E+01  3.4445E+00  2.9946E+03  1.1552E+00
   2.5313E+01  3.8187E+00  3.2020E+03  1.1523E+00
   2.5571E+01  3.3756E+00  3.0030E+03  1.1566E+00
   2.5333E+01  3.7566E+00  3.2120E+03  1.1534E+00
   2.5589E+01  3.3161E+00  3.0103E+03  1.1579E+00
   2.5352E+01  3.7021E+00  3.2208E+03  1.1543E+00
   2.5604E+01  3.2639E+00  3.0167E+03  1.1590E+00
   2.5368E+01  3.6535E+00  3.2288E+03  1.1551E+00
   2.5617E+01  3.2176E+00  3.0224E+03  1.1601E+00
   2.5383E+01  3.6097E+00  3.2359E+03  1.1559E+00
   2.5629E+01  3.1760E+00  3.0276E+03  1.1611E+00
   2.5397E+01  3.5699E+00  3.2425E+03  1.1566E+00
   2.5641E+01  3.1384E+00  3.0322E+03  1.1620E+00
   2.5409E+01  3.5335E+00  3.2485E+03  1.1573E+00
   2.5651E+01  3.1041E+00  3.0365E+03  1.1628E+00
   2.5421E+01  3.5000E+00  3.2541E+03  1.1579E+00
   2.5660E+01  3.0725E+00  3.0404E+03  1.1636E+00
   2.5432E+01  3.4690E+00  3.2593E+03  1.1585E+00
   2.5668E+01  3.0435E+00  3.0440E+03  1.1644E+00
   2.5442E+01  3.4402E+00  3.2641E+03  1.1590E+00
   2.5676E+01  3.0165E+00  3.0474E+03  1.1651E+00
   2.5451E+01  3.4133E+00  3.2687E+03  1.1596E+00
   2.5684E+01  2.9914E+00  3.0505E+03  1.1657E+00
   2.5460E+01  3.3880E+00  3.2729E+03  1.1601E+00
   2.5691E+01  2.9679E+00  3.0535E+03  1.1664E+00
   2.5469E+01  3.3643E+00  3.2769E+03  1.1605E+00
   2.5697E+01  2.9459E+00  3.0562E+03  1.1670E+00
   2.5169E+01  5.2896E+00  3.0231E+03  1.1338E+00
   2.5488E+01  4.9140E+00  2.8701E+03  1.1331E+00
   2.5309E+01  4.8315E+00  3.0894E+03  1.1384E+00
   2.5616E+01  4.4623E+00  2.9249E+03  1.1383E+00
   2.5390E+01  4.5824E+00  3.1277E+03  1.1412E+00
   2.5690E+01  4.2160E+00  2.9560E+03  1.1415E+00
   2.5446E+01  4.4137E+00  3.1546E+03  1.1433E+00
   2.5741E+01  4.0489E+00  2.9777E+03  1.1439E+00
   2.5490E+01  4.2873E+00  3.1753E+03  1.1449E+00
   2.5780E+01  3.9237E+00  2.9941E+03  1.1457E+00
   2.5526E+01  4.1869E+00  3.1921E+03  1.1462E+00
   2.5811E+01  3.8241E+00  3.0073E+03  1.1473E+00
   2.5555E+01  4.1038E+00  3.2061E+03  1.1473E+00
   2.5837E+01  3.7418E+00  3.0183E+03  1.1487E+00
   2.5581E+01  4.0333E+00  3.2182E+03  1.1483E+00
   2.5859E+01  3.6719E+00  3.0278E+03  1.1499E+00
   2.5603E+01  3.9722E+00  3.2288E+03  1.1492E+00
   2.5879E+01  3.6113E+00  3.0359E+03  1.1510E+00
   2.5623E+01  3.9184E+00  3.2382E+03  1.1500E+00
   2.5896E+01  3.5580E+00  3.0432E+03  1.1519E+00
   2.5641E+01  3.8703E+00  3.2467E+03  1.1507E+00
   2.5911E+01  3.5105E+00  3.0497E+03  1.1528E+00
   2.5657E+01  3.8270E+00  3.2543E+03  1.1514E+00
   2.5925E+01  3.4676E+00  3.0555E+03  1.1536E+00
   2.5672E+01  3.7876E+00  3.2614E+03  1.1520E+00
   2.5938E+01  3.4287E+00  3.0608E+03  1.1544E+00
   2.5686E+01  3.7516E+00  3.2678E+03  1.1526E+00
   2.5949E+01  3.3931E+00  3.0657E+03  1.1551E+00
   2.5698E+01  3.7183E+00  3.2738E+03  1.1532E+00
   2.5960E+01  3.3603E+00  3.0702E+03  1.1558E+00
   2.5710E+01  3.6875E+00  3.2794E+03  1.1537E+00
   2.5970E+01  3.3299E+00  3.0744E+03  1.1564E+00
   2.5721E+01  3.6588E+00  3.2846E+03  1.1541E+00
   2.5979E+01  3.3017E+00  3.0783E+03  1.1570E+00
   2.5732E+01  3.6320E+00  3.2895E+03  1.1546E+00
   2.5988E+01  3.2753E+00  3.0820E+03  1.1576E+00
   2.5741E+01  3.6069E+00  3.2941E+03  1.1550E+00
   2.5996E+01  3.2505E+00  3.0854E+03  1.1581E+00
   2.5750E+01  3.5832E+00  3.2985E+03  1.1554E+00
   2.6003E+01  3.2273E+00  3.0886E+03  1.1586E+00
   2.5394E+01  5.4059E+00  3.0276E+03  1.1323E+00
   2.5720E+01  5.1079E+00  2.8776E+03  1.1307E+00
   2.5538E+01  4.9592E+00  3.0951E+03  1.1366E+00
   2.5855E+01  4.6695E+00  2.9343E+03  1.1353E+00
   2.5621E+01  4.7168E+00  3.1343E+03  1.1392E+00
   2.5932E+01  4.4308E+00  2.9669E+03  1.1381E+00
   2.5680E+01  4.5529E+00  3.1619E+03  1.1411E+00
   2.5986E+01  4.2688E+00  2.9896E+03  1.1402E+00
   2.5726E+01  4.4302E+00  3.1832E+03  1.1425E+00
   2.6027E+01  4.1473E+00  3.0070E+03  1.1418E+00
   2.5763E+01  4.3327E+00  3.2005E+03  1.1437E+00
   2.6061E+01  4.0506E+00  3.0211E+03  1.1432E+00
   2.5794E+01  4.2522E+00  3.2150E+03  1.1448E+00
   2.6089E+01  3.9706E+00  3.0328E+03  1.1444E+00
   2.5821E+01  4.1838E+00  3.2275E+03  1.1456E+00
   2.6113E+01  3.9026E+00  3.0429E+03  1.1454E+00
   2.5844E+01  4.1245E+00  3.2385E+03  1.1464E+00
   2.6134E+01  3.8435E+00  3.0517E+03  1.1463E+00
   2.5865E+01  4.0723E+00  3.2483E+03  1.1472E+00
   2.6153E+01  3.7915E+00  3.0596E+03  1.1471E+00
   2.5884E+01  4.0257E+00  3.2571E+03  1.1478E+00
   2.6169E+01  3.7451E+00  3.0666E+03  1.1479E+00
   2.5901E+01  3.9837E+00  3.2651E+03  1.1484E+00
   2.6184E+01  3.7031E+00  3.0729E+03  1.1486E+00
   2.5917E+01  3.9455E+00  3.2724E+03  1.1489E+00
   2.6198E+01  3.6650E+00  3.0787E+03  1.1492E+00
   2.5932E+01  3.9105E+00  3.2792E+03  1.1495E+00
   2.6211E+01  3.6301E+00  3.0841E+03  1.1498E+00
   2.5945E+01  3.8783E+00  3.2854E+03  1.1499E+00
   2.6223E+01  3.5978E+00  3.0890E+03  1.1504E+00
   2.5958E+01  3.8484E+00  3.2913E+03  1.1504E+00
   2.6234E+01  3.5680E+00  3.0936E+03  1.1509E+00
   2.5969E+01  3.8206E+00  3.2968E+03  1.1508E+00
   2.6244E+01  3.5401E+00  3.0979E+03  1.1514E+00
   2.5980E+01  3.7946E+00  3.3019E+03  1.1512E+00
   2.6254E+01  3.5141E+00  3.1019E+03  1.1519E+00
   2.5991E+01  3.7701E+00  3.3068E+03  1.1516E+00
   2.6263E+01  3.4896E+00  3.1057E+03  1.1523E+00
   2.6001E+01  3.7471E+00  3.3113E+03  1.1519E+00
   2.6271E+01  3.4666E+00  3.1093E+03  1.1527E+00
   2.5599E+01  5.4621E+00  3.0291E+03  1.1314E+00
   2.5931E+01  5.2190E+00  2.8809E+03  1.1292E+00
   2.5746E+01  5.0266E+00  3.0972E+03  1.1355E+00
   2.6069E+01  4.7948E+00  2.9388E+03  1.1335E+00
   2.5832E+01  4.7910E+00  3.1368E+03  1.1379E+00
   2.6149E+01  4.5645E+00  2.9721E+03  1.1361E+00
   2.5892E+01  4.6318E+00  3.1648E+03  1.1397E+00
   2.6205E+01  4.4085E+00  2.9956E+03  1.1379E+00
   2.5939E+01  4.5129E+00  3.1864E+03  1.1410E+00
   2.6248E+01  4.2917E+00  3.0135E+03  1.1394E+00
   2.5977E+01  4.4184E+00  3.2040E+03  1.1421E+00
   2.6283E+01  4.1988E+00  3.0281E+03  1.1406E+00
   2.6009E+01  4.3405E+00  3.2188E+03  1.1431E+00
   2.6313E+01  4.1221E+00  3.0403E+03  1.1416E+00
   2.6037E+01  4.2744E+00  3.2316E+03  1.1439E+00
   2.6338E+01  4.0568E+00  3.0508E+03  1.1425E+00
   2.6061E+01  4.2171E+00  3.2428E+03  1.1447E+00
   2.6360E+01  4.0003E+00  3.0600E+03  1.1433E+00
   2.6083E+01  4.1667E+00  3.2528E+03  1.1453E+00
   2.6380E+01  3.9504E+00  3.0682E+03  1.1440E+00
   2.6102E+01  4.1218E+00  3.2618E+03  1.1459E+00
   2.6397E+01  3.9059E+00  3.0756E+03  1.1447E+00
   2.6120E+01  4.0812E+00  3.2700E+03  1.1464E+00
   2.6414E+01  3.8658E+00  3.0823E+03  1.1453E+00
   2.6136E+01  4.0444E+00  3.2775E+03  1.1469E+00
   2.6428E+01  3.8292E+00  3.0884E+03  1.1459E+00
   2.6152E+01  4.0107E+00  3.2845E+03  1.1474E+00
   2.6442E+01  3.7958E+00  3.0940E+03  1.1464E+00
   2.6166E+01  3.9796E+00  3.2909E+03  1.1478E+00
   2.6454E+01  3.7649E+00  3.0992E+03  1.1469E+00
   2.6179E+01  3.9509E+00  3.2969E+03  1.1483E+00
   2.6466E+01  3.7363E+00  3.1041E+03  1.1473E+00
   2.6191E+01  3.9241E+00  3.3026E+03  1.1486E+00
   2.6477E+01  3.7097E+00  3.1087E+03  1.1478E+00
   2.6202E+01  3.8990E+00  3.3079E+03  1.1490E+00
   2.6487E+01  3.6847E+00  3.1129E+03  1.1482E+00
   2.6213E+01  3.8755E+00  3.3129E+03  1.1493E+00
   2.6497E+01  3.6613E+00  3.1169E+03  1.1485E+00
   2.6223E+01  3.8534E+00  3.3176E+03  1.1497E+00
   2.6506E+01  3.6392E+00  3.1207E+03  1.1489E+00
   2.5788E+01  5.4717E+00  3.0282E+03  1.1308E+00
   2.6123E+01  5.2638E+00  2.8812E+03  1.1284E+00
   2.5936E+01  5.0466E+00  3.0965E+03  1.1348E+00
   2.6264E+01  4.8520E+00  2.9395E+03  1.1324E+00
   2.6023E+01  4.8169E+00  3.1363E+03  1.1371E+00
