       mw          cp           t         gam
   1.6850E+01  2.4379E+01  2.6056E+00  3.1344E+03
   1.6846E+01  2.4510E+01  2.2368E+00  2.8704E+03
   1.6905E+01  2.4384E+01  2.5889E+00  3.1368E+03
   1.6897E+01  2.4513E+01  2.2258E+00  2.8715E+03
   1.6955E+01  2.4345E+01  4.4662E+00  2.9782E+03
   1.6945E+01  2.4615E+01  3.8005E+00  2.8046E+03
   1.7003E+01  2.4461E+01  4.0079E+00  3.0355E+03
   1.6990E+01  2.4711E+01  3.3848E+00  2.8459E+03
   1.7048E+01  2.4525E+01  3.7625E+00  3.0676E+03
   1.7032E+01  2.4762E+01  3.1685E+00  2.8680E+03
   1.7090E+01  2.4570E+01  3.5985E+00  3.0896E+03
   1.7072E+01  2.4797E+01  3.0271E+00  2.8827E+03
   1.7130E+01  2.4604E+01  3.4772E+00  3.1062E+03
   1.7110E+01  2.4822E+01  2.9243E+00  2.8935E+03
   1.7168E+01  2.4630E+01  3.3819E+00  3.1194E+03
   1.7146E+01  2.4842E+01  2.8448E+00  2.9019E+03
   1.7204E+01  2.4652E+01  3.3039E+00  3.1304E+03
   1.7180E+01  2.4859E+01  2.7806E+00  2.9087E+03
   1.7238E+01  2.4671E+01  3.2384E+00  3.1397E+03
   1.7212E+01  2.4872E+01  2.7273E+00  2.9145E+03
   1.7271E+01  2.4687E+01  3.1821E+00  3.1478E+03
   1.7243E+01  2.4884E+01  2.6821E+00  2.9193E+03
   1.7303E+01  2.4702E+01  3.1329E+00  3.1548E+03
   1.7273E+01  2.4894E+01  2.6429E+00  2.9236E+03
   1.6882E+01  2.4715E+01  3.0894E+00  3.1611E+03
   1.6940E+01  2.4903E+01  2.6086E+00  2.9273E+03
   1.7029E+01  2.4726E+01  3.0505E+00  3.1668E+03
   1.7089E+01  2.4911E+01  2.5782E+00  2.9306E+03
   1.7139E+01  2.4736E+01  3.0154E+00  3.1720E+03
   1.7199E+01  2.4918E+01  2.5509E+00  2.9335E+03
   1.7230E+01  2.4746E+01  2.9835E+00  3.1767E+03
   1.7287E+01  2.4924E+01  2.5264E+00  2.9362E+03
   1.7307E+01  2.4755E+01  2.9543E+00  3.1810E+03
   1.7363E+01  2.4930E+01  2.5040E+00  2.9387E+03
   1.7374E+01  2.4763E+01  2.9274E+00  3.1850E+03
   1.7429E+01  2.4936E+01  2.4836E+00  2.9409E+03
   1.7427E+01  2.4770E+01  2.9026E+00  3.1887E+03
   1.7488E+01  2.4941E+01  2.4648E+00  2.9430E+03
   1.7475E+01  2.4777E+01  2.8794E+00  3.1921E+03
   1.7542E+01  2.4945E+01  2.4474E+00  2.9449E+03
   1.7518E+01  2.4784E+01  2.8579E+00  3.1954E+03
   1.7591E+01  2.4950E+01  2.4314E+00  2.9467E+03
   1.7557E+01  2.4790E+01  2.8377E+00  3.1984E+03
   1.7637E+01  2.4954E+01  2.4164E+00  2.9483E+03
   1.7594E+01  2.4649E+01  4.8245E+00  3.0001E+03
   1.7680E+01  2.4940E+01  4.2461E+00  2.8359E+03
   1.7628E+01  2.4775E+01  4.3548E+00  3.0615E+03
   1.7720E+01  2.5050E+01  3.7960E+00  2.8832E+03
   1.7660E+01  2.4847E+01  4.1005E+00  3.0964E+03
   1.7758E+01  2.5111E+01  3.5556E+00  2.9092E+03
   1.7690E+01  2.4896E+01  3.9290E+00  3.1207E+03
   1.7794E+01  2.5152E+01  3.3954E+00  2.9268E+03
   1.7719E+01  2.4934E+01  3.8012E+00  3.1391E+03
   1.7827E+01  2.5183E+01  3.2772E+00  2.9400E+03
   1.7746E+01  2.4964E+01  3.7000E+00  3.1539E+03
   1.7860E+01  2.5207E+01  3.1846E+00  2.9503E+03
   1.7772E+01  2.4990E+01  3.6168E+00  3.1662E+03
   1.7891E+01  2.5227E+01  3.1090E+00  2.9588E+03
   1.7796E+01  2.5011E+01  3.5464E+00  3.1767E+03
   1.7921E+01  2.5244E+01  3.0456E+00  2.9660E+03
   1.7820E+01  2.5030E+01  3.4857E+00  3.1858E+03
   1.7949E+01  2.5259E+01  2.9913E+00  2.9722E+03
   1.7842E+01  2.5046E+01  3.4324E+00  3.1939E+03
   1.7976E+01  2.5271E+01  2.9440E+00  2.9775E+03
   1.7603E+01  2.5061E+01  3.3850E+00  3.2011E+03
   1.7610E+01  2.5283E+01  2.9022E+00  2.9823E+03
   1.7608E+01  2.5075E+01  3.3425E+00  3.2076E+03
   1.7632E+01  2.5293E+01  2.8650E+00  2.9866E+03
   1.7615E+01  2.5087E+01  3.3040E+00  3.2136E+03
   1.7662E+01  2.5302E+01  2.8314E+00  2.9904E+03
   1.7625E+01  2.5098E+01  3.2688E+00  3.2190E+03
   1.7694E+01  2.5310E+01  2.8010E+00  2.9939E+03
   1.7636E+01  2.5108E+01  3.2365E+00  3.2240E+03
   1.7726E+01  2.5318E+01  2.7732E+00  2.9971E+03
   1.7649E+01  2.5118E+01  3.2067E+00  3.2287E+03
   1.7758E+01  2.5325E+01  2.7476E+00  3.0001E+03
   1.7663E+01  2.5127E+01  3.1790E+00  3.2330E+03
   1.7789E+01  2.5331E+01  2.7241E+00  3.0028E+03
   1.7677E+01  2.5135E+01  3.1532E+00  3.2370E+03
   1.7818E+01  2.5337E+01  2.7022E+00  3.0053E+03
   1.7692E+01  2.5143E+01  3.1291E+00  3.2408E+03
   1.7846E+01  2.5343E+01  2.6818E+00  3.0077E+03
   1.7707E+01  2.5150E+01  3.1064E+00  3.2444E+03
   1.7873E+01  2.5348E+01  2.6628E+00  3.0099E+03
   1.7723E+01  2.4922E+01  5.0991E+00  3.0144E+03
   1.7898E+01  2.5230E+01  4.6260E+00  2.8569E+03
   1.7738E+01  2.5056E+01  4.6318E+00  3.0787E+03
   1.7923E+01  2.5350E+01  4.1672E+00  2.9086E+03
   1.7754E+01  2.5133E+01  4.3777E+00  3.1157E+03
   1.7946E+01  2.5418E+01  3.9183E+00  2.9377E+03
   1.7769E+01  2.5187E+01  4.2057E+00  3.1415E+03
   1.7969E+01  2.5465E+01  3.7504E+00  2.9576E+03
   1.7784E+01  2.5228E+01  4.0769E+00  3.1613E+03
   1.7990E+01  2.5500E+01  3.6252E+00  2.9726E+03
   1.7799E+01  2.5261E+01  3.9747E+00  3.1772E+03
   1.8011E+01  2.5528E+01  3.5260E+00  2.9846E+03
   1.7813E+01  2.5289E+01  3.8903E+00  3.1906E+03
   1.8031E+01  2.5552E+01  3.4445E+00  2.9946E+03
   1.7828E+01  2.5313E+01  3.8187E+00  3.2020E+03
   1.8050E+01  2.5571E+01  3.3756E+00  3.0030E+03
   1.7842E+01  2.5333E+01  3.7566E+00  3.2120E+03
   1.8069E+01  2.5589E+01  3.3161E+00  3.0103E+03
   1.7856E+01  2.5352E+01  3.7021E+00  3.2208E+03
   1.8086E+01  2.5604E+01  3.2639E+00  3.0167E+03
   1.8527E+01  2.5368E+01  3.6535E+00  3.2288E+03
   1.8528E+01  2.5617E+01  3.2176E+00  3.0224E+03
   1.8527E+01  2.5383E+01  3.6097E+00  3.2359E+03
   1.8528E+01  2.5629E+01  3.1760E+00  3.0276E+03
   1.8528E+01  2.5397E+01  3.5699E+00  3.2425E+03
   1.8529E+01  2.5641E+01  3.1384E+00  3.0322E+03
   1.8529E+01  2.5409E+01  3.5335E+00  3.2485E+03
   1.8530E+01  2.5651E+01  3.1041E+00  3.0365E+03
   1.8529E+01  2.5421E+01  3.5000E+00  3.2541E+03
   1.8531E+01  2.5660E+01  3.0725E+00  3.0404E+03
   1.8530E+01  2.5432E+01  3.4690E+00  3.2593E+03
   1.8532E+01  2.5668E+01  3.0435E+00  3.0440E+03
   1.8531E+01  2.5442E+01  3.4402E+00  3.2641E+03
   1.8534E+01  2.5676E+01  3.0165E+00  3.0474E+03
   1.8531E+01  2.5451E+01  3.4133E+00  3.2687E+03
   1.8535E+01  2.5684E+01  2.9914E+00  3.0505E+03
   1.8532E+01  2.5460E+01  3.3880E+00  3.2729E+03
   1.8537E+01  2.5691E+01  2.9679E+00  3.0535E+03
   1.8533E+01  2.5469E+01  3.3643E+00  3.2769E+03
   1.8539E+01  2.5697E+01  2.9459E+00  3.0562E+03
   1.8534E+01  2.5169E+01  5.2896E+00  3.0231E+03
   1.8541E+01  2.5488E+01  4.9140E+00  2.8701E+03
   1.8535E+01  2.5309E+01  4.8315E+00  3.0894E+03
   1.8544E+01  2.5616E+01  4.4623E+00  2.9249E+03
   1.8536E+01  2.5390E+01  4.5824E+00  3.1277E+03
   1.8546E+01  2.5690E+01  4.2160E+00  2.9560E+03
   1.8537E+01  2.5446E+01  4.4137E+00  3.1546E+03
   1.8549E+01  2.5741E+01  4.0489E+00  2.9777E+03
   1.8538E+01  2.5490E+01  4.2873E+00  3.1753E+03
   1.8552E+01  2.5780E+01  3.9237E+00  2.9941E+03
   1.8539E+01  2.5526E+01  4.1869E+00  3.1921E+03
   1.8554E+01  2.5811E+01  3.8241E+00  3.0073E+03
   1.8541E+01  2.5555E+01  4.1038E+00  3.2061E+03
   1.8557E+01  2.5837E+01  3.7418E+00  3.0183E+03
   1.8542E+01  2.5581E+01  4.0333E+00  3.2182E+03
   1.8561E+01  2.5859E+01  3.6719E+00  3.0278E+03
   1.8543E+01  2.5603E+01  3.9722E+00  3.2288E+03
   1.8564E+01  2.5879E+01  3.6113E+00  3.0359E+03
   1.8545E+01  2.5623E+01  3.9184E+00  3.2382E+03
   1.8567E+01  2.5896E+01  3.5580E+00  3.0432E+03
   1.9387E+01  2.5641E+01  3.8703E+00  3.2467E+03
   1.9390E+01  2.5911E+01  3.5105E+00  3.0497E+03
   1.9388E+01  2.5657E+01  3.8270E+00  3.2543E+03
   1.9391E+01  2.5925E+01  3.4676E+00  3.0555E+03
   1.9389E+01  2.5672E+01  3.7876E+00  3.2614E+03
   1.9391E+01  2.5938E+01  3.4287E+00  3.0608E+03
   1.9389E+01  2.5686E+01  3.7516E+00  3.2678E+03
   1.9391E+01  2.5949E+01  3.3931E+00  3.0657E+03
   1.9390E+01  2.5698E+01  3.7183E+00  3.2738E+03
   1.9391E+01  2.5960E+01  3.3603E+00  3.0702E+03
   1.9390E+01  2.5710E+01  3.6875E+00  3.2794E+03
   1.9392E+01  2.5970E+01  3.3299E+00  3.0744E+03
   1.9391E+01  2.5721E+01  3.6588E+00  3.2846E+03
   1.9392E+01  2.5979E+01  3.3017E+00  3.0783E+03
